[RETRY] prime task=real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
Building 40 N=5 hop-fault twowiki_real bridge_comparison examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real_hop.py's set)...
Built 40 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1941,419)
  N=5 arm=self_refine real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(5335,2680)
  N=5 arm=self_refine real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4754,1697)
  N=5 arm=self_refine real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4754,1697)
  N=5 arm=self_refine real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(4537,1416)
  N=5 arm=self_refine real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3920,1028)
  N=5 arm=self_refine real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3920,1028)
  N=5 arm=self_refine real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4698,2489)
  N=5 arm=self_refine real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4187,796)
  N=5 arm=self_refine real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4187,796)
  N=5 arm=self_refine real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4405,1309)
  N=5 arm=self_refine real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4618,676)
  N=5 arm=self_refine real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4618,676)
  N=5 arm=self_refine real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4618,675)
  N=5 arm=self_refine real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4361,650)
  N=5 arm=self_refine real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4361,650)
  N=5 arm=self_refine real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4353,948)
  N=5 arm=self_refine real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4701,1263)
  N=5 arm=self_refine real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4701,1263)
  N=5 arm=self_refine real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4449,978)
  N=5 arm=self_refine real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4312,989)
  N=5 arm=self_refine real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4312,989)
  N=5 arm=self_refine real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4315,1071)
  N=5 arm=self_refine real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4497,1102)
  N=5 arm=self_refine real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4497,1102)
  N=5 arm=self_refine real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4162,712)
--- [self_refine] N=5: rows written=120 errors=0 tokens_in=512494 tokens_out=122791 ---
  N=5 arm=full_regen real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=2/5 tokens=(3881,835)
  N=5 arm=full_regen real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3880,708)
  N=5 arm=full_regen real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3879,838)
  N=5 arm=full_regen real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3592,716)
  N=5 arm=full_regen real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3592,672)
  N=5 arm=full_regen real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3592,642)
  N=5 arm=full_regen real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3208,745)
  N=5 arm=full_regen real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3207,733)
  N=5 arm=full_regen real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(3207,542)
  N=5 arm=full_regen real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3589,1250)
  N=5 arm=full_regen real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3589,940)
  N=5 arm=full_regen real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3588,1167)
  N=5 arm=full_regen real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3552,595)
  N=5 arm=full_regen real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3552,697)
  N=5 arm=full_regen real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3551,622)
[RETRY] full_regen task=real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=5 arm=full_regen real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3468,584)
  N=5 arm=full_regen real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3469,587)
  N=5 arm=full_regen real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3468,539)
  N=5 arm=full_regen real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4080,638)
  N=5 arm=full_regen real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4080,447)
  N=5 arm=full_regen real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4080,664)
  N=5 arm=full_regen real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4344,611)
  N=5 arm=full_regen real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4344,558)
  N=5 arm=full_regen real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4343,631)
  N=5 arm=full_regen real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3438,704)
  N=5 arm=full_regen real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=1: per_fault={'hop0': False, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=2/5 tokens=(3437,545)
  N=5 arm=full_regen real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3437,752)
  N=5 arm=full_regen real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(3770,772)
  N=5 arm=full_regen real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3770,909)
  N=5 arm=full_regen real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3769,721)
  N=5 arm=full_regen real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3392,726)
  N=5 arm=full_regen real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3394,670)
  N=5 arm=full_regen real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3391,875)
  N=5 arm=full_regen real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3132,1121)
  N=5 arm=full_regen real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3132,912)
  N=5 arm=full_regen real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3132,909)
  N=5 arm=full_regen real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3986,726)
  N=5 arm=full_regen real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3986,1093)
  N=5 arm=full_regen real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3985,593)
  N=5 arm=full_regen real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3390,760)
  N=5 arm=full_regen real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3390,984)
  N=5 arm=full_regen real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3389,1014)
  N=5 arm=full_regen real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3673,712)
  N=5 arm=full_regen real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3673,1023)
  N=5 arm=full_regen real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3674,895)
  N=5 arm=full_regen real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4328,624)
  N=5 arm=full_regen real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4328,914)
  N=5 arm=full_regen real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4328,780)
  N=5 arm=full_regen real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': True, 'hop2': False, 'hop3': True, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(3354,566)
  N=5 arm=full_regen real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3354,685)
  N=5 arm=full_regen real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3354,797)
  N=5 arm=full_regen real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4088,422)
[RETRY] full_regen task=real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
[RETRY] full_regen task=real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=1 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=5 arm=full_regen real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4088,693)
  N=5 arm=full_regen real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4088,639)
  N=5 arm=full_regen real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4054,493)
  N=5 arm=full_regen real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4054,658)
  N=5 arm=full_regen real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4054,608)
  N=5 arm=full_regen real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3870,842)
  N=5 arm=full_regen real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3870,976)
  N=5 arm=full_regen real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3870,893)
  N=5 arm=full_regen real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3252,750)
  N=5 arm=full_regen real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3252,693)
  N=5 arm=full_regen real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3252,716)
  N=5 arm=full_regen real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3698,1178)
  N=5 arm=full_regen real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3698,846)
  N=5 arm=full_regen real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3698,795)
  N=5 arm=full_regen real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(3686,716)
  N=5 arm=full_regen real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(3686,723)
  N=5 arm=full_regen real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3686,1339)
  N=5 arm=full_regen real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=2/5 tokens=(3604,763)
  N=5 arm=full_regen real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3604,878)
  N=5 arm=full_regen real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3604,814)
  N=5 arm=full_regen real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3273,797)
  N=5 arm=full_regen real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3273,738)
  N=5 arm=full_regen real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3274,726)
  N=5 arm=full_regen real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3302,798)
  N=5 arm=full_regen real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3302,773)
  N=5 arm=full_regen real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3302,700)
  N=5 arm=full_regen real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3500,1090)
  N=5 arm=full_regen real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3500,1045)
  N=5 arm=full_regen real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3501,954)
