Building 60 4-fault-injected twowiki_real examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real.py's set)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=4 arm=direct real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,360)
  N=4 arm=full_regen real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4884,934)
  N=4 arm=full_regen real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4884,1004)
  N=4 arm=full_regen real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4262,903)
  N=4 arm=full_regen real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4262,921)
  N=4 arm=full_regen real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4262,698)
  N=4 arm=full_regen real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4749,888)
  N=4 arm=full_regen real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4749,875)
  N=4 arm=full_regen real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4748,832)
  N=4 arm=full_regen real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5018,753)
  N=4 arm=full_regen real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5018,595)
  N=4 arm=full_regen real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5018,1041)
[RETRY] full_regen task=real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=0 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=4 arm=full_regen real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4683,254)
  N=4 arm=full_regen real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4683,345)
  N=4 arm=full_regen real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4683,421)
  N=4 arm=full_regen real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5060,887)
  N=4 arm=full_regen real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5060,811)
  N=4 arm=full_regen real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5060,1163)
  N=4 arm=full_regen real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5015,961)
  N=4 arm=full_regen real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5015,951)
  N=4 arm=full_regen real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5016,1123)
  N=4 arm=full_regen real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5182,1177)
  N=4 arm=full_regen real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5182,1275)
  N=4 arm=full_regen real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5181,1230)
  N=4 arm=full_regen real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5014,709)
  N=4 arm=full_regen real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(5014,949)
  N=4 arm=full_regen real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5014,834)
  N=4 arm=full_regen real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4388,1167)
  N=4 arm=full_regen real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4388,958)
  N=4 arm=full_regen real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4388,1187)
  N=4 arm=full_regen real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4026,588)
  N=4 arm=full_regen real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4026,616)
  N=4 arm=full_regen real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4026,922)
  N=4 arm=full_regen real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5030,779)
  N=4 arm=full_regen real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5029,1047)
  N=4 arm=full_regen real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5029,1045)
  N=4 arm=full_regen real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5008,824)
  N=4 arm=full_regen real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5008,766)
  N=4 arm=full_regen real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5008,659)
  N=4 arm=full_regen real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4563,858)
  N=4 arm=full_regen real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4563,741)
  N=4 arm=full_regen real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4563,907)
  N=4 arm=full_regen real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4692,679)
  N=4 arm=full_regen real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4691,651)
  N=4 arm=full_regen real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4692,1201)
  N=4 arm=full_regen real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5032,784)
  N=4 arm=full_regen real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5032,990)
  N=4 arm=full_regen real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5032,606)
  N=4 arm=full_regen real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4596,802)
  N=4 arm=full_regen real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4596,671)
  N=4 arm=full_regen real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4596,889)
  N=4 arm=full_regen real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4257,876)
  N=4 arm=full_regen real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4257,814)
  N=4 arm=full_regen real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4258,911)
  N=4 arm=full_regen real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4944,955)
  N=4 arm=full_regen real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4944,930)
  N=4 arm=full_regen real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4944,773)
  N=4 arm=full_regen real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5103,872)
  N=4 arm=full_regen real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5103,774)
  N=4 arm=full_regen real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5105,1211)
  N=4 arm=full_regen real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5194,554)
  N=4 arm=full_regen real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5194,730)
  N=4 arm=full_regen real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5194,562)
  N=4 arm=full_regen real_2wiki_05461_5d6e00200bda11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4840,662)
  N=4 arm=full_regen real_2wiki_05461_5d6e00200bda11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4840,798)
  N=4 arm=full_regen real_2wiki_05461_5d6e00200bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4840,738)
  N=4 arm=full_regen real_2wiki_05528_b2296fac0bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5075,576)
  N=4 arm=full_regen real_2wiki_05528_b2296fac0bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5075,782)
  N=4 arm=full_regen real_2wiki_05528_b2296fac0bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5074,609)
  N=4 arm=full_regen real_2wiki_05619_c4ab9d6c0bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4474,394)
  N=4 arm=full_regen real_2wiki_05619_c4ab9d6c0bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4474,493)
  N=4 arm=full_regen real_2wiki_05619_c4ab9d6c0bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4474,398)
  N=4 arm=full_regen real_2wiki_05625_217b3fca0bde11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5290,712)
  N=4 arm=full_regen real_2wiki_05625_217b3fca0bde11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5290,515)
  N=4 arm=full_regen real_2wiki_05625_217b3fca0bde11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5290,590)
  N=4 arm=full_regen real_2wiki_05695_64f4337108a911ebbd80ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4390,822)
  N=4 arm=full_regen real_2wiki_05695_64f4337108a911ebbd80ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4390,911)
  N=4 arm=full_regen real_2wiki_05695_64f4337108a911ebbd80ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4390,924)
  N=4 arm=full_regen real_2wiki_05709_01547cde0bde11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5016,826)
  N=4 arm=full_regen real_2wiki_05709_01547cde0bde11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5016,787)
  N=4 arm=full_regen real_2wiki_05709_01547cde0bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5016,881)
--- [full_regen] N=4: rows written=180 errors=0 tokens_in=857076 tokens_out=147564 ---
  N=4 arm=react real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,842)
  N=4 arm=react real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,842)
  N=4 arm=react real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,1032)
  N=4 arm=react real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4980,1024)
  N=4 arm=react real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4980,1024)
  N=4 arm=react real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4980,820)
  N=4 arm=react real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4271,750)
  N=4 arm=react real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4271,750)
  N=4 arm=react real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4272,957)
  N=4 arm=react real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4328,1030)
  N=4 arm=react real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4328,1030)
  N=4 arm=react real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4328,884)
  N=4 arm=react real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4958,1045)
  N=4 arm=react real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4958,1045)
  N=4 arm=react real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4958,916)
  N=4 arm=react real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4387,943)
  N=4 arm=react real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4387,943)
  N=4 arm=react real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4386,1113)
  N=4 arm=react real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5214,963)
  N=4 arm=react real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5214,963)
  N=4 arm=react real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5214,1015)
  N=4 arm=react real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4887,1017)
  N=4 arm=react real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4887,1017)
  N=4 arm=react real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4888,883)
  N=4 arm=react real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5128,976)
  N=4 arm=react real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5128,976)
  N=4 arm=react real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5128,1079)
  N=4 arm=react real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4235,842)
  N=4 arm=react real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4235,842)
  N=4 arm=react real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4236,1131)
  N=4 arm=react real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4018,731)
  N=4 arm=react real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4018,731)
  N=4 arm=react real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4017,809)
  N=4 arm=react real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5105,967)
  N=4 arm=react real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5105,967)
  N=4 arm=react real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5106,915)
  N=4 arm=react real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4682,990)
  N=4 arm=react real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4682,990)
  N=4 arm=react real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4682,988)
  N=4 arm=react real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5233,750)
  N=4 arm=react real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5233,750)
  N=4 arm=react real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5234,683)
  N=4 arm=react real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4950,1205)
  N=4 arm=react real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4950,1205)
