Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,343)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2385,367)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5438,998)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2385,293)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5182,913)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4770,713)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4823,768)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(16274,411)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2385,293)
  N=4 real_hotpotqa_03062_5a7e035d5542997cc2c474f6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5336,767)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2281,255)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4932,776)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4562,620)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4615,682)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13176,301)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12674,429)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5086,802)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2281,265)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4942,588)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4562,548)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4615,698)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13176,315)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12668,427)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5096,870)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2281,265)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4942,570)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4562,445)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4615,735)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13211,345)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12684,431)
  N=4 real_hotpotqa_03119_5a8835245542994846c1ce27 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5096,870)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2288,229)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4865,678)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4576,470)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4629,658)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13218,498)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12442,480)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5019,583)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2288,376)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5054,968)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4576,655)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4629,813)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13218,530)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13000,630)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5208,898)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2288,316)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4973,824)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4576,526)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4629,753)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13218,444)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12813,574)
  N=4 real_hotpotqa_03135_5ab7c3df5542993667794003 seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5127,748)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2447,372)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5469,1047)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,612)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4947,774)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14172,479)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14092,550)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5623,859)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2447,322)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5391,1071)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,521)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4947,764)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14172,410)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13865,481)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5545,980)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2447,338)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5436,950)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,656)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4947,767)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14207,417)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14008,516)
  N=4 real_hotpotqa_03144_5a8d0c74554299585d9e37a1 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5590,1036)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2322,240)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5004,665)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4644,432)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4697,624)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13422,293)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12832,424)
[RETRY] selfcheckgpt task=real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 attempt 1/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': Midnight Oil}); retrying in 3s
[RETRY] selfcheckgpt task=real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 attempt 2/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': Midnight Oil}); retrying in 6s
[RETRY] selfcheckgpt task=real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 attempt 3/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': Midnight Oil}); retrying in 12s
[RETRY] selfcheckgpt task=real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 attempt 4/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': Midnight Oil}); retrying in 24s
[ERROR] selfcheckgpt failed task=real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2: failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': Midnight Oil}
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5158,861)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2322,211)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4975,676)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4644,429)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4697,599)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13422,269)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12755,397)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5129,644)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2322,238)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5002,664)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4644,308)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4697,625)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12826,419)
  N=4 real_hotpotqa_03160_5a8aa5835542996c9b8d5f4e seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5156,727)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2289,262)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5009,822)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4578,468)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4631,721)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13224,320)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12847,474)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5163,773)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2289,258)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5005,853)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4578,446)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4631,718)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13224,307)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12864,441)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5159,818)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2289,315)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5063,946)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4578,551)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4631,798)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13259,440)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13006,460)
  N=4 real_hotpotqa_03172_5abd0b685542996583600501 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5217,711)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2355,391)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5301,1017)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4710,669)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4763,843)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13620,522)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13710,603)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5455,603)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2355,245)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5072,624)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4710,639)
  N=4 real_hotpotqa_03223_5a7c67c15542990527d55498 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4763,682)
