Resuming arm=direct: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=self_refine: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=full_regen: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=react: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=selfcheckgpt: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=reflexion: 60 (task_id, seed) rows already present, will be skipped.
Resuming arm=intro_specter: 60 (task_id, seed) rows already present, will be skipped.
Building 60 recipes native-multi-fault (N=5) examples (bench_seed=42)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 recipes_nonsynth_mf5_000021 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8888,2354)
  N=5 recipes_nonsynth_mf5_000042 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1957,3279)
  N=5 recipes_nonsynth_mf5_000042 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12887,2557)
  N=5 recipes_nonsynth_mf5_000042 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11302,3619)
  N=5 recipes_nonsynth_mf5_000042 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3292,1582)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(952,985)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3138,2318)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1904,1874)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1957,3279)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12875,2580)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11302,3619)
  N=5 recipes_nonsynth_mf5_000042 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3292,1582)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(952,1135)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3345,2659)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1904,1736)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1957,2727)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12388,2571)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12337,4184)
  N=5 recipes_nonsynth_mf5_000042 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3499,2784)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(947,780)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2811,1649)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1894,1864)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1947,2558)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(13822,2429)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(9649,2947)
  N=5 recipes_nonsynth_mf5_000043 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2965,1399)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(947,780)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2811,1649)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1894,1600)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1947,2558)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(13084,2310)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(9649,2947)
  N=5 recipes_nonsynth_mf5_000043 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2965,1399)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(947,1140)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3199,2294)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1894,2032)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1947,2631)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(14854,3191)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(11439,3938)
  N=5 recipes_nonsynth_mf5_000043 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3353,1874)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(963,554)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2730,1483)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1926,1444)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=react: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(1979,1969)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12674,2380)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(7515,1832)
  N=5 recipes_nonsynth_mf5_000044 seed=0 arm=intro_specter: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(2884,1582)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(963,554)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2730,1483)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1926,1241)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=react: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(1979,1969)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12005,2300)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(7515,1832)
  N=5 recipes_nonsynth_mf5_000044 seed=1 arm=intro_specter: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(2884,1582)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(963,208)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2159,936)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1926,1131)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=react: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1979,1290)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(9600,1638)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=reflexion: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(8291,2724)
  N=5 recipes_nonsynth_mf5_000044 seed=2 arm=intro_specter: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(2313,474)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(922,725)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(2782,1692)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1844,1554)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1897,1875)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(10581,1935)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(9715,2936)
  N=5 recipes_nonsynth_mf5_000045 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2936,1690)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(922,725)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(2782,1692)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1844,1376)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1897,1875)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(10647,1917)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(9715,2936)
  N=5 recipes_nonsynth_mf5_000045 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2936,1690)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(922,540)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(2476,1284)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1844,1178)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1897,1126)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(10596,1670)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(8073,1992)
  N=5 recipes_nonsynth_mf5_000045 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=4/5 tokens=(2630,1195)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(947,964)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(3050,2150)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1894,1938)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1947,3271)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(14079,2920)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=reflexion: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(10986,3461)
  N=5 recipes_nonsynth_mf5_000046 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3204,2110)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(947,964)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(3050,2150)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1894,1615)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1947,3271)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(14296,2896)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=reflexion: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(10986,3461)
  N=5 recipes_nonsynth_mf5_000046 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3204,2110)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(947,513)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2513,1301)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1894,1370)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1947,1871)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(14438,2462)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(8392,2316)
  N=5 recipes_nonsynth_mf5_000046 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2667,1040)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(936,908)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(2912,2022)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1872,1699)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1925,2161)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(13707,2794)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(10122,3138)
  N=5 recipes_nonsynth_mf5_000047 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3066,1397)
  N=5 recipes_nonsynth_mf5_000047 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(936,908)
  N=5 recipes_nonsynth_mf5_000047 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(2912,2022)
  N=5 recipes_nonsynth_mf5_000047 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(1872,1426)
  N=5 recipes_nonsynth_mf5_000047 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1925,2161)
