Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=llama-3.3-70b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2655,270)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04636_ba358f49_abs seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5498,612)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04636_ba358f49_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5498,813)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04636_ba358f49_abs seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5498,498)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04804_a89d7624 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5976,606)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04804_a89d7624 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5976,611)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04804_a89d7624 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5976,637)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04855_eeda8a6d_abs seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5348,646)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04855_eeda8a6d_abs seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5348,587)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_04855_eeda8a6d_abs seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5348,566)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05009_gpt4_a2d1d1f6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5442,482)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05009_gpt4_a2d1d1f6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5442,688)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05009_gpt4_a2d1d1f6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5442,442)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05020_41275add seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4184,377)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05020_41275add seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4184,263)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05020_41275add seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4184,321)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05138_603deb26 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5482,626)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05138_603deb26 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5482,457)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05138_603deb26 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5482,693)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05283_8b9d4367 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4902,650)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05283_8b9d4367 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4902,377)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05283_8b9d4367 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4902,467)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05580_gpt4_7bc6cf22 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5184,203)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05580_gpt4_7bc6cf22 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5184,146)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05580_gpt4_7bc6cf22 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5184,132)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05617_830ce83f seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4948,442)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05617_830ce83f seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4948,389)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05617_830ce83f seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4948,585)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05649_15745da0_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5076,426)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05649_15745da0_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5076,384)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05649_15745da0_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5076,468)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05705_d905b33f seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4954,481)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05705_d905b33f seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4954,448)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05705_d905b33f seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4954,203)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05757_gpt4_213fd887 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5300,528)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05757_gpt4_213fd887 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5300,554)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05757_gpt4_213fd887 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5300,535)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05821_0977f2af seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5284,447)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05821_0977f2af seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5284,384)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05821_0977f2af seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5284,330)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05844_8550ddae seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,485)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05844_8550ddae seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,527)
  model=llama-3.3-70b N=4 arm=full_regen real_lme_05844_8550ddae seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,485)
--- [llama-3.3-70b][full_regen] N=4: rows written=180 errors=0 tokens_in=944687 tokens_out=97763 ---
  model=llama-3.3-70b N=4 arm=react real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5363,738)
  model=llama-3.3-70b N=4 arm=react real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5363,774)
  model=llama-3.3-70b N=4 arm=react real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5363,838)
  model=llama-3.3-70b N=4 arm=react real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5467,737)
  model=llama-3.3-70b N=4 arm=react real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5467,694)
  model=llama-3.3-70b N=4 arm=react real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5467,938)
  model=llama-3.3-70b N=4 arm=react real_lme_00168_gpt4_68e94287 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5711,576)
  model=llama-3.3-70b N=4 arm=react real_lme_00168_gpt4_68e94287 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5711,525)
  model=llama-3.3-70b N=4 arm=react real_lme_00168_gpt4_68e94287 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5711,647)
  model=llama-3.3-70b N=4 arm=react real_lme_00220_gpt4_2312f94c seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5319,528)
  model=llama-3.3-70b N=4 arm=react real_lme_00220_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5319,612)
  model=llama-3.3-70b N=4 arm=react real_lme_00220_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5319,523)
  model=llama-3.3-70b N=4 arm=react real_lme_00263_2698e78f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5209,778)
  model=llama-3.3-70b N=4 arm=react real_lme_00263_2698e78f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5209,737)
  model=llama-3.3-70b N=4 arm=react real_lme_00263_2698e78f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5209,752)
  model=llama-3.3-70b N=4 arm=react real_lme_00322_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5963,698)
  model=llama-3.3-70b N=4 arm=react real_lme_00322_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5963,723)
  model=llama-3.3-70b N=4 arm=react real_lme_00322_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5963,773)
  model=llama-3.3-70b N=4 arm=react real_lme_00423_0e5e2d1a seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4539,782)
  model=llama-3.3-70b N=4 arm=react real_lme_00423_0e5e2d1a seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4539,785)
  model=llama-3.3-70b N=4 arm=react real_lme_00423_0e5e2d1a seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4539,814)
  model=llama-3.3-70b N=4 arm=react real_lme_00446_0ddfec37_abs seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5315,739)
  model=llama-3.3-70b N=4 arm=react real_lme_00446_0ddfec37_abs seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5315,737)
  model=llama-3.3-70b N=4 arm=react real_lme_00446_0ddfec37_abs seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5315,737)
  model=llama-3.3-70b N=4 arm=react real_lme_00448_c7dc5443 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5393,684)
  model=llama-3.3-70b N=4 arm=react real_lme_00448_c7dc5443 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5393,693)
  model=llama-3.3-70b N=4 arm=react real_lme_00448_c7dc5443 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5393,690)
  model=llama-3.3-70b N=4 arm=react real_lme_00491_gpt4_59149c78 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5327,687)
  model=llama-3.3-70b N=4 arm=react real_lme_00491_gpt4_59149c78 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5327,905)
  model=llama-3.3-70b N=4 arm=react real_lme_00491_gpt4_59149c78 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5327,794)
  model=llama-3.3-70b N=4 arm=react real_lme_00576_gpt4_85da3956 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5133,896)
  model=llama-3.3-70b N=4 arm=react real_lme_00576_gpt4_85da3956 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5133,935)
  model=llama-3.3-70b N=4 arm=react real_lme_00576_gpt4_85da3956 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5133,982)
  model=llama-3.3-70b N=4 arm=react real_lme_00617_92a0aa75 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5023,934)
  model=llama-3.3-70b N=4 arm=react real_lme_00617_92a0aa75 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5023,882)
  model=llama-3.3-70b N=4 arm=react real_lme_00617_92a0aa75 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5023,786)
  model=llama-3.3-70b N=4 arm=react real_lme_00634_ad7109d1 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5149,604)
  model=llama-3.3-70b N=4 arm=react real_lme_00634_ad7109d1 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5149,647)
  model=llama-3.3-70b N=4 arm=react real_lme_00634_ad7109d1 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5149,685)
  model=llama-3.3-70b N=4 arm=react real_lme_00780_eeda8a6d seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5347,1104)
  model=llama-3.3-70b N=4 arm=react real_lme_00780_eeda8a6d seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5347,883)
  model=llama-3.3-70b N=4 arm=react real_lme_00780_eeda8a6d seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5347,886)
  model=llama-3.3-70b N=4 arm=react real_lme_00888_gpt4_2d58bcd6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5259,846)
  model=llama-3.3-70b N=4 arm=react real_lme_00888_gpt4_2d58bcd6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5259,755)
  model=llama-3.3-70b N=4 arm=react real_lme_00888_gpt4_2d58bcd6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5259,761)
  model=llama-3.3-70b N=4 arm=react real_lme_01107_08e075c7 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5251,1066)
  model=llama-3.3-70b N=4 arm=react real_lme_01107_08e075c7 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5251,1072)
  model=llama-3.3-70b N=4 arm=react real_lme_01107_08e075c7 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5251,1110)
  model=llama-3.3-70b N=4 arm=react real_lme_01294_4fd1909e seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5249,489)
  model=llama-3.3-70b N=4 arm=react real_lme_01294_4fd1909e seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5249,508)
  model=llama-3.3-70b N=4 arm=react real_lme_01294_4fd1909e seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5249,637)
  model=llama-3.3-70b N=4 arm=react real_lme_01456_f685340e seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5495,833)
  model=llama-3.3-70b N=4 arm=react real_lme_01456_f685340e seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5495,898)
  model=llama-3.3-70b N=4 arm=react real_lme_01456_f685340e seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5495,843)
  model=llama-3.3-70b N=4 arm=react real_lme_01592_078150f1 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5209,699)
  model=llama-3.3-70b N=4 arm=react real_lme_01592_078150f1 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5209,704)
  model=llama-3.3-70b N=4 arm=react real_lme_01592_078150f1 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5209,774)
  model=llama-3.3-70b N=4 arm=react real_lme_01602_a2f3aa27 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5063,677)
  model=llama-3.3-70b N=4 arm=react real_lme_01602_a2f3aa27 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5063,697)
  model=llama-3.3-70b N=4 arm=react real_lme_01602_a2f3aa27 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5063,732)
  model=llama-3.3-70b N=4 arm=react real_lme_01669_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5179,765)
  model=llama-3.3-70b N=4 arm=react real_lme_01669_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5179,838)
  model=llama-3.3-70b N=4 arm=react real_lme_01669_gpt4_468eb063 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5179,856)
  model=llama-3.3-70b N=4 arm=react real_lme_01720_gpt4_4929293b seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5243,556)
  model=llama-3.3-70b N=4 arm=react real_lme_01720_gpt4_4929293b seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5243,1095)
  model=llama-3.3-70b N=4 arm=react real_lme_01720_gpt4_4929293b seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5243,653)
  model=llama-3.3-70b N=4 arm=react real_lme_01958_gpt4_fa19884d seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5303,703)
  model=llama-3.3-70b N=4 arm=react real_lme_01958_gpt4_fa19884d seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5303,787)
  model=llama-3.3-70b N=4 arm=react real_lme_01958_gpt4_fa19884d seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5303,688)
  model=llama-3.3-70b N=4 arm=react real_lme_02098_d6062bb9 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5245,793)
  model=llama-3.3-70b N=4 arm=react real_lme_02098_d6062bb9 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5245,728)
  model=llama-3.3-70b N=4 arm=react real_lme_02098_d6062bb9 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5245,739)
  model=llama-3.3-70b N=4 arm=react real_lme_02112_945e3d21 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5373,651)
  model=llama-3.3-70b N=4 arm=react real_lme_02112_945e3d21 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5373,664)
  model=llama-3.3-70b N=4 arm=react real_lme_02112_945e3d21 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5373,650)
  model=llama-3.3-70b N=4 arm=react real_lme_02119_gpt4_9a159967 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5077,798)
  model=llama-3.3-70b N=4 arm=react real_lme_02119_gpt4_9a159967 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5077,848)
  model=llama-3.3-70b N=4 arm=react real_lme_02119_gpt4_9a159967 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5077,833)
  model=llama-3.3-70b N=4 arm=react real_lme_02276_4388e9dd seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5641,721)
  model=llama-3.3-70b N=4 arm=react real_lme_02276_4388e9dd seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5641,591)
  model=llama-3.3-70b N=4 arm=react real_lme_02276_4388e9dd seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5641,648)
  model=llama-3.3-70b N=4 arm=react real_lme_02335_gpt4_7ddcf75f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5457,735)
  model=llama-3.3-70b N=4 arm=react real_lme_02335_gpt4_7ddcf75f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5457,833)
  model=llama-3.3-70b N=4 arm=react real_lme_02335_gpt4_7ddcf75f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5457,1098)
  model=llama-3.3-70b N=4 arm=react real_lme_02374_b6019101 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5425,792)
  model=llama-3.3-70b N=4 arm=react real_lme_02374_b6019101 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5425,819)
  model=llama-3.3-70b N=4 arm=react real_lme_02374_b6019101 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5425,770)
  model=llama-3.3-70b N=4 arm=react real_lme_02431_bc149d6b seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5431,691)
  model=llama-3.3-70b N=4 arm=react real_lme_02431_bc149d6b seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5431,709)
  model=llama-3.3-70b N=4 arm=react real_lme_02431_bc149d6b seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5431,679)
