Building 40 5-fault (4 hop-context + 1 profile) twowiki_real bridge_comparison examples (bench_seed=42, scan_limit=2671)...
Built 40 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter']
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(6750,794)
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4505,886)
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(6750,794)
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4505,886)
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(1969,370)
  N=5 real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4564,585)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1991,524)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4825,931)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1991,524)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4825,931)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1991,577)
  N=5 real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4899,1108)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1895,370)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4418,763)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1895,370)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4418,763)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1895,350)
  N=5 real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4398,807)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1917,342)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4451,813)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1917,342)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4451,813)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1917,569)
  N=5 real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4741,1104)

--- run summary (N=5) ---
rows written: 240  errors: 0
total tokens_input=846966  total tokens_output=162509  grand_total=1009475
